02.01.2018 14:31:21.000 GMT-0000,10.380,10.380,10.380,10.380,0.0075,candlestick,0
02.01.2018 14:31:23.000 GMT-0000,10.380,10.380,10.380,10.380,0.0075,candlestick,0
02.01.2018 14:31:24.000 GMT-0000,10.383,10.383,10.383,10.383,0.0075,candlestick,0
02.01.2018 14:31:25.000 GMT-0000,10.381,10.381,10.381,10.381,0.0075,candlestick,0
02.01.2018 14:31:26.000 GMT-0000,10.378,10.378,10.378,10.378,0.0009,candlestick,0
02.01.2018 14:31:27.000 GMT-0000,10.380,10.380,10.380,10.380,0.0075,candlestick,0
02.01.2018 14:31:28.000 GMT-0000,10.378,10.378,10.377,10.377,0.0019,candlestick,0
02.01.2018 14:31:30.000 GMT-0000,10.378,10.378,10.378,10.378,0.001,candlestick,0
02.01.2018 14:31:31.000 GMT-0000,10.377,10.377,10.377,10.377,0.001,candlestick,0
02.01.2018 14:31:32.000 GMT-0000,10.368,10.368,10.368,10.368,0.0114,candlestick,0
02.01.2018 14:31:33.000 GMT-0000,10.376,10.376,10.376,10.376,0.0075,candlestick,0
02.01.2018 14:31:34.000 GMT-0000,10.367,10.367,10.367,10.367,0.0117,candlestick,0
02.01.2018 14:31:35.000 GMT-0000,10.370,10.370,10.370,10.370,0.0075,candlestick,0
02.01.2018 14:31:38.000 GMT-0000,10.367,10.367,10.367,10.367,0.0114,candlestick,0
02.01.2018 14:31:39.000 GMT-0000,10.369,10.369,10.369,10.369,0.0075,candlestick,0
02.01.2018 14:31:41.000 GMT-0000,10.370,10.370,10.370,10.370,0.0075,candlestick,0
02.01.2018 14:31:42.000 GMT-0000,10.368,10.368,10.358,10.358,0.0087,candlestick,0
02.01.2018 14:31:46.000 GMT-0000,10.358,10.358,10.358,10.358,0.0002,candlestick,0
02.01.2018 14:31:47.000 GMT-0000,10.357,10.357,10.357,10.357,0.0002,candlestick,0
02.01.2018 14:31:48.000 GMT-0000,10.358,10.358,10.358,10.358,0.0075,candlestick,0
02.01.2018 14:31:49.000 GMT-0000,10.357,10.357,10.357,10.357,0.0104,candlestick,0
02.01.2018 14:31:50.000 GMT-0000,10.358,10.358,10.358,10.358,0.0002,candlestick,0
02.01.2018 14:31:52.000 GMT-0000,10.357,10.357,10.357,10.357,0.0104,candlestick,0
02.01.2018 14:31:53.000 GMT-0000,10.357,10.357,10.357,10.357,0.0104,candlestick,0
02.01.2018 14:31:54.000 GMT-0000,10.358,10.358,10.358,10.358,0.0002,candlestick,0
02.01.2018 14:31:55.000 GMT-0000,10.357,10.357,10.357,10.357,0.0105,candlestick,0
02.01.2018 14:31:56.000 GMT-0000,10.358,10.358,10.358,10.358,0.0004,candlestick,0
02.01.2018 14:31:59.000 GMT-0000,10.358,10.358,10.358,10.358,0.0004,candlestick,0
02.01.2018 14:32:00.000 GMT-0000,10.358,10.358,10.358,10.358,0.0106,candlestick,0
02.01.2018 14:32:01.000 GMT-0000,10.363,10.363,10.358,10.358,0.0184,candlestick,0
02.01.2018 14:32:02.000 GMT-0000,10.357,10.358,10.357,10.358,0.015,candlestick,0
02.01.2018 14:32:03.000 GMT-0000,10.354,10.354,10.354,10.354,0.0075,candlestick,0
02.01.2018 14:32:04.000 GMT-0000,10.354,10.354,10.354,10.354,0.0075,candlestick,0
02.01.2018 14:32:05.000 GMT-0000,10.352,10.352,10.352,10.352,0.0075,candlestick,0
02.01.2018 14:32:06.000 GMT-0000,10.354,10.354,10.354,10.354,0.0075,candlestick,0
02.01.2018 14:32:08.000 GMT-0000,10.353,10.353,10.353,10.353,0.0075,candlestick,0
02.01.2018 14:32:10.000 GMT-0000,10.353,10.353,10.353,10.353,0.015,candlestick,0
02.01.2018 14:32:12.000 GMT-0000,10.353,10.353,10.353,10.353,0.0075,candlestick,0
02.01.2018 14:32:15.000 GMT-0000,10.353,10.358,10.353,10.358,0.015799999999999998,candlestick,0
02.01.2018 14:32:16.000 GMT-0000,10.367,10.367,10.362,10.362,0.0189,candlestick,0
02.01.2018 14:32:17.000 GMT-0000,10.358,10.358,10.358,10.358,0.0103,candlestick,0
02.01.2018 14:32:18.000 GMT-0000,10.358,10.358,10.358,10.358,0.0075,candlestick,0
02.01.2018 14:32:19.000 GMT-0000,10.358,10.358,10.358,10.358,0.0075,candlestick,0
02.01.2018 14:32:23.000 GMT-0000,10.357,10.357,10.357,10.357,0.0108,candlestick,0
02.01.2018 14:32:24.000 GMT-0000,10.357,10.357,10.357,10.357,0.0108,candlestick,0
02.01.2018 14:32:27.000 GMT-0000,10.358,10.358,10.358,10.358,0.0004,candlestick,0
02.01.2018 14:32:28.000 GMT-0000,10.357,10.357,10.357,10.357,0.0106,candlestick,0
02.01.2018 14:32:30.000 GMT-0000,10.358,10.358,10.358,10.358,0.0075,candlestick,0
02.01.2018 14:32:35.000 GMT-0000,10.360,10.360,10.360,10.360,0.0075,candlestick,0
02.01.2018 14:32:36.000 GMT-0000,10.358,10.358,10.358,10.358,0.0075,candlestick,0
02.01.2018 14:32:38.000 GMT-0000,10.361,10.361,10.361,10.361,0.015,candlestick,0
02.01.2018 14:32:40.000 GMT-0000,10.361,10.372,10.361,10.372,0.015600000000000001,candlestick,0
02.01.2018 14:32:41.000 GMT-0000,10.367,10.377,10.367,10.377,0.023899999999999998,candlestick,0
02.01.2018 14:32:42.000 GMT-0000,10.381,10.381,10.381,10.381,0.0075,candlestick,0
02.01.2018 14:32:43.000 GMT-0000,10.381,10.381,10.381,10.381,0.015,candlestick,0
02.01.2018 14:32:44.000 GMT-0000,10.381,10.381,10.381,10.381,0.0075,candlestick,0
02.01.2018 14:32:45.000 GMT-0000,10.381,10.381,10.381,10.381,0.0075,candlestick,0
02.01.2018 14:32:46.000 GMT-0000,10.379,10.379,10.379,10.379,0.0075,candlestick,0
02.01.2018 14:32:47.000 GMT-0000,10.379,10.379,10.379,10.379,0.0075,candlestick,0
02.01.2018 14:32:48.000 GMT-0000,10.378,10.378,10.378,10.378,0.023,candlestick,0
02.01.2018 14:32:50.000 GMT-0000,10.378,10.378,10.378,10.378,0.0117,candlestick,0
02.01.2018 14:32:51.000 GMT-0000,10.382,10.382,10.382,10.382,0.0075,candlestick,0
02.01.2018 14:32:56.000 GMT-0000,10.378,10.378,10.378,10.378,0.0119,candlestick,0
02.01.2018 14:32:57.000 GMT-0000,10.378,10.378,10.368,10.368,0.015,candlestick,0
02.01.2018 14:32:58.000 GMT-0000,10.368,10.368,10.368,10.368,0.0075,candlestick,0
02.01.2018 14:32:59.000 GMT-0000,10.368,10.368,10.368,10.368,0.0075,candlestick,0
02.01.2018 14:33:01.000 GMT-0000,10.368,10.368,10.361,10.361,0.0115,candlestick,0
02.01.2018 14:33:02.000 GMT-0000,10.352,10.352,10.352,10.352,0.0075,candlestick,0
02.01.2018 14:33:03.000 GMT-0000,10.353,10.353,10.353,10.353,0.015,candlestick,0
02.01.2018 14:33:05.000 GMT-0000,10.353,10.353,10.338,10.338,0.015,candlestick,0
02.01.2018 14:33:06.000 GMT-0000,10.340,10.340,10.340,10.340,0.0075,candlestick,0
02.01.2018 14:33:07.000 GMT-0000,10.340,10.340,10.340,10.340,0.0075,candlestick,0
02.01.2018 14:33:11.000 GMT-0000,10.339,10.339,10.339,10.339,0.0075,candlestick,0
02.01.2018 14:33:12.000 GMT-0000,10.340,10.340,10.340,10.340,0.0075,candlestick,0
02.01.2018 14:33:13.000 GMT-0000,10.347,10.348,10.347,10.348,0.019700000000000002,candlestick,0
02.01.2018 14:33:14.000 GMT-0000,10.347,10.347,10.347,10.347,0.0116,candlestick,0
02.01.2018 14:33:15.000 GMT-0000,10.348,10.348,10.348,10.348,0.0075,candlestick,0
02.01.2018 14:33:16.000 GMT-0000,10.348,10.357,10.348,10.357,0.030599999999999995,candlestick,0
02.01.2018 14:33:17.000 GMT-0000,10.358,10.368,10.358,10.368,0.021299999999999996,candlestick,0
02.01.2018 14:33:18.000 GMT-0000,10.367,10.367,10.367,10.367,0.0015,candlestick,0
02.01.2018 14:33:19.000 GMT-0000,10.368,10.369,10.368,10.369,0.015,candlestick,0
02.01.2018 14:33:20.000 GMT-0000,10.370,10.370,10.370,10.370,0.0075,candlestick,0
02.01.2018 14:33:21.000 GMT-0000,10.371,10.371,10.371,10.371,0.0075,candlestick,0
02.01.2018 14:33:25.000 GMT-0000,10.371,10.371,10.371,10.371,0.0075,candlestick,0
02.01.2018 14:33:26.000 GMT-0000,10.369,10.369,10.369,10.369,0.015,candlestick,0
02.01.2018 14:33:27.000 GMT-0000,10.367,10.367,10.367,10.367,0.0115,candlestick,0
02.01.2018 14:33:28.000 GMT-0000,10.371,10.371,10.371,10.371,0.0075,candlestick,0
02.01.2018 14:33:29.000 GMT-0000,10.369,10.369,10.369,10.369,0.0075,candlestick,0
02.01.2018 14:33:31.000 GMT-0000,10.368,10.368,10.367,10.367,0.0177,candlestick,0
