Local time,Open,High,Low,Close,Volume
18.11.2019 14:30:12.500 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:12.550 GMT-0000,38.627,38.627,38.627,38.627,0.002
18.11.2019 14:30:12.650 GMT-0000,38.637,38.637,38.637,38.637,0.002
18.11.2019 14:30:13.000 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:13.250 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:13.550 GMT-0000,38.628,38.628,38.628,38.628,0.002
18.11.2019 14:30:13.600 GMT-0000,38.628,38.628,38.628,38.628,0.002
18.11.2019 14:30:14.200 GMT-0000,38.638,38.638,38.638,38.638,0.002
18.11.2019 14:30:14.500 GMT-0000,38.628,38.628,38.628,38.628,0.002
18.11.2019 14:30:14.650 GMT-0000,38.648,38.648,38.648,38.648,0.0008
18.11.2019 14:30:15.050 GMT-0000,38.647,38.647,38.647,38.647,0.002
18.11.2019 14:30:15.100 GMT-0000,38.668,38.668,38.668,38.668,0.002
18.11.2019 14:30:15.550 GMT-0000,38.668,38.668,38.668,38.668,0.0008
18.11.2019 14:30:15.900 GMT-0000,38.668,38.668,38.668,38.668,0.0008
18.11.2019 14:30:15.950 GMT-0000,38.657,38.657,38.657,38.657,0.002
18.11.2019 14:30:16.100 GMT-0000,38.658,38.658,38.658,38.658,0.002
18.11.2019 14:30:16.250 GMT-0000,38.648,38.648,38.648,38.648,0.0008
18.11.2019 14:30:16.300 GMT-0000,38.647,38.647,38.647,38.647,0.002
18.11.2019 14:30:16.400 GMT-0000,38.648,38.648,38.648,38.648,0.002
18.11.2019 14:30:16.750 GMT-0000,38.638,38.638,38.638,38.638,0.002
18.11.2019 14:30:16.900 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:16.950 GMT-0000,38.627,38.627,38.627,38.627,0.002
18.11.2019 14:30:17.300 GMT-0000,38.637,38.637,38.637,38.637,0.0008
18.11.2019 14:30:17.450 GMT-0000,38.648,38.648,38.648,38.648,0.0008
18.11.2019 14:30:17.600 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:17.650 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:17.800 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:18.000 GMT-0000,38.627,38.627,38.627,38.627,0.002
18.11.2019 14:30:18.300 GMT-0000,38.628,38.628,38.628,38.628,0.0008
18.11.2019 14:30:18.400 GMT-0000,38.637,38.637,38.637,38.637,0.0008
18.11.2019 14:30:18.450 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:18.900 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:18.950 GMT-0000,38.628,38.628,38.628,38.628,0.0008
18.11.2019 14:30:19.050 GMT-0000,38.628,38.628,38.628,38.628,0.0008
18.11.2019 14:30:19.100 GMT-0000,38.618,38.618,38.618,38.618,0.0008
18.11.2019 14:30:19.200 GMT-0000,38.617,38.617,38.617,38.617,0.0008
18.11.2019 14:30:19.800 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:19.950 GMT-0000,38.618,38.618,38.618,38.618,0.002
18.11.2019 14:30:20.050 GMT-0000,38.608,38.608,38.608,38.608,0.002
18.11.2019 14:30:20.450 GMT-0000,38.607,38.607,38.607,38.607,0.002
18.11.2019 14:30:20.600 GMT-0000,38.627,38.627,38.627,38.627,0.0008
18.11.2019 14:30:20.700 GMT-0000,38.628,38.628,38.628,38.628,0.0008
18.11.2019 14:30:20.900 GMT-0000,38.618,38.618,38.618,38.618,0.002
18.11.2019 14:30:21.150 GMT-0000,38.608,38.608,38.608,38.608,0.0008
18.11.2019 14:30:21.500 GMT-0000,38.607,38.607,38.607,38.607,0.002
18.11.2019 14:30:21.950 GMT-0000,38.608,38.608,38.608,38.608,0.0008
18.11.2019 14:30:22.050 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:24.000 GMT-0000,38.597,38.597,38.597,38.597,0.002
18.11.2019 14:30:25.600 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:28.750 GMT-0000,38.597,38.597,38.597,38.597,0.002
18.11.2019 14:30:29.000 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:31.000 GMT-0000,38.597,38.597,38.597,38.597,0.002
18.11.2019 14:30:31.150 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:31.450 GMT-0000,38.597,38.597,38.597,38.597,0.002
18.11.2019 14:30:31.650 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:32.300 GMT-0000,38.597,38.597,38.597,38.597,0.002
18.11.2019 14:30:32.650 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:33.650 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:33.700 GMT-0000,38.597,38.597,38.597,38.597,0.002
18.11.2019 14:30:33.850 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:34.800 GMT-0000,38.607,38.607,38.607,38.607,0.0008
18.11.2019 14:30:34.850 GMT-0000,38.608,38.608,38.608,38.608,0.0008
18.11.2019 14:30:35.000 GMT-0000,38.618,38.618,38.618,38.618,0.0008
18.11.2019 14:30:35.100 GMT-0000,38.617,38.617,38.617,38.617,0.002
18.11.2019 14:30:35.250 GMT-0000,38.618,38.618,38.618,38.618,0.0008
18.11.2019 14:30:35.450 GMT-0000,38.618,38.618,38.618,38.618,0.0008
18.11.2019 14:30:35.500 GMT-0000,38.618,38.618,38.618,38.618,0.0008
18.11.2019 14:30:36.800 GMT-0000,38.617,38.617,38.617,38.617,0.002
18.11.2019 14:30:37.250 GMT-0000,38.618,38.618,38.618,38.618,0.0008
18.11.2019 14:30:37.500 GMT-0000,38.608,38.608,38.608,38.608,0.0008
18.11.2019 14:30:37.550 GMT-0000,38.607,38.607,38.607,38.607,0.002
18.11.2019 14:30:38.000 GMT-0000,38.608,38.608,38.608,38.608,0.0008
18.11.2019 14:30:38.100 GMT-0000,38.608,38.608,38.608,38.608,0.002
18.11.2019 14:30:38.200 GMT-0000,38.617,38.617,38.617,38.617,0.002
18.11.2019 14:30:38.500 GMT-0000,38.618,38.618,38.618,38.618,0.0008
18.11.2019 14:30:38.850 GMT-0000,38.617,38.617,38.617,38.617,0.002
18.11.2019 14:30:39.050 GMT-0000,38.618,38.618,38.618,38.618,0.002
18.11.2019 14:30:39.600 GMT-0000,38.618,38.618,38.618,38.618,0.0008
18.11.2019 14:30:39.950 GMT-0000,38.618,38.618,38.618,38.618,0.002
18.11.2019 14:30:40.300 GMT-0000,38.617,38.617,38.617,38.617,0.002
18.11.2019 14:30:40.450 GMT-0000,38.618,38.618,38.618,38.618,0.0008
18.11.2019 14:30:40.950 GMT-0000,38.598,38.598,38.598,38.598,0.002
18.11.2019 14:30:41.300 GMT-0000,38.608,38.608,38.608,38.608,0.0008
18.11.2019 14:30:41.350 GMT-0000,38.608,38.608,38.608,38.608,0.002
18.11.2019 14:30:41.450 GMT-0000,38.608,38.608,38.608,38.608,0.0008
18.11.2019 14:30:41.500 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:41.550 GMT-0000,38.608,38.608,38.608,38.608,0.0008
18.11.2019 14:30:41.600 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:41.750 GMT-0000,38.608,38.608,38.608,38.608,0.0008
18.11.2019 14:30:41.850 GMT-0000,38.598,38.598,38.598,38.598,0.002
18.11.2019 14:30:42.100 GMT-0000,38.598,38.598,38.598,38.598,0.002
18.11.2019 14:30:44.250 GMT-0000,38.578,38.578,38.578,38.578,0.0008
18.11.2019 14:30:44.700 GMT-0000,38.588,38.588,38.588,38.588,0.0008
18.11.2019 14:30:45.250 GMT-0000,38.597,38.597,38.597,38.597,0.0008
18.11.2019 14:30:45.400 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:46.700 GMT-0000,38.607,38.607,38.607,38.607,0.0008
18.11.2019 14:30:46.750 GMT-0000,38.608,38.608,38.608,38.608,0.0008
18.11.2019 14:30:46.900 GMT-0000,38.618,38.618,38.618,38.618,0.0008
18.11.2019 14:30:47.350 GMT-0000,38.617,38.617,38.617,38.617,0.002
18.11.2019 14:30:47.750 GMT-0000,38.618,38.618,38.618,38.618,0.0008
18.11.2019 14:30:48.200 GMT-0000,38.628,38.628,38.628,38.628,0.0008
18.11.2019 14:30:49.400 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:49.450 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:49.500 GMT-0000,38.668,38.668,38.668,38.668,0.0008
18.11.2019 14:30:49.650 GMT-0000,38.677,38.677,38.677,38.677,0.0008
18.11.2019 14:30:49.700 GMT-0000,38.678,38.678,38.678,38.678,0.0008
18.11.2019 14:30:49.750 GMT-0000,38.657,38.657,38.657,38.657,0.002
18.11.2019 14:30:50.200 GMT-0000,38.648,38.648,38.648,38.648,0.0008
18.11.2019 14:30:50.450 GMT-0000,38.658,38.658,38.658,38.658,0.0008
18.11.2019 14:30:50.550 GMT-0000,38.638,38.638,38.638,38.638,0.002
