Local time,Ask,Bid,AskVolume,BidVolume
18.11.2019 14:30:13.616 GMT-0000,38.652,38.628,0.002,0.002
18.11.2019 14:30:14.244 GMT-0000,38.652,38.638000000000005,0.002,0.002
18.11.2019 14:30:14.505 GMT-0000,38.652,38.628,0.002,0.002
18.11.2019 14:30:14.687 GMT-0000,38.662,38.648,0,0.0008
18.11.2019 14:30:15.073 GMT-0000,38.663000000000004,38.647,0.002,0.002
18.11.2019 14:30:15.123 GMT-0000,38.682,38.668,0.002,0.002
18.11.2019 14:30:15.575 GMT-0000,38.692,38.668,0,0.0008
18.11.2019 14:30:15.918 GMT-0000,38.682,38.668,0,0.0008
18.11.2019 14:30:15.969 GMT-0000,38.673,38.657,0.002,0.002
18.11.2019 14:30:16.114 GMT-0000,38.672,38.658,0.002,0.002
18.11.2019 14:30:16.260 GMT-0000,38.672,38.648,0,0.0008
18.11.2019 14:30:16.341 GMT-0000,38.663000000000004,38.647,0,0.002
18.11.2019 14:30:16.442 GMT-0000,38.672,38.648,0.002,0.002
18.11.2019 14:30:16.793 GMT-0000,38.662,38.638000000000005,0.002,0.002
18.11.2019 14:30:16.916 GMT-0000,38.652,38.638000000000005,0,0.0008
18.11.2019 14:30:16.967 GMT-0000,38.653000000000006,38.627,0.002,0.002
18.11.2019 14:30:17.343 GMT-0000,38.653000000000006,38.637,0,0.0008
18.11.2019 14:30:17.470 GMT-0000,38.662,38.648,0,0.0008
18.11.2019 14:30:17.623 GMT-0000,38.662,38.638000000000005,0,0.0008
18.11.2019 14:30:17.692 GMT-0000,38.653000000000006,38.638000000000005,0,0.0008
18.11.2019 14:30:17.827 GMT-0000,38.652,38.638000000000005,0,0.0008
18.11.2019 14:30:18.041 GMT-0000,38.653000000000006,38.627,0.002,0.002
18.11.2019 14:30:18.326 GMT-0000,38.652,38.628,0,0.0008
18.11.2019 14:30:18.420 GMT-0000,38.653000000000006,38.637,0.002,0.0008
18.11.2019 14:30:18.470 GMT-0000,38.662,38.638000000000005,0,0.0008
18.11.2019 14:30:18.924 GMT-0000,38.653000000000006,38.638000000000005,0,0.0008
18.11.2019 14:30:18.974 GMT-0000,38.652,38.628,0,0.0008
18.11.2019 14:30:19.065 GMT-0000,38.643,38.628,0,0.0008
18.11.2019 14:30:19.116 GMT-0000,38.641999999999996,38.618,0,0.0008
18.11.2019 14:30:19.233 GMT-0000,38.641999999999996,38.617,0,0.0008
18.11.2019 14:30:19.844 GMT-0000,38.641999999999996,38.598000000000006,0,0.0008
18.11.2019 14:30:19.969 GMT-0000,38.641999999999996,38.618,0.002,0.002
18.11.2019 14:30:20.099 GMT-0000,38.632,38.608000000000004,0.002,0.002
18.11.2019 14:30:20.458 GMT-0000,38.633,38.607,0.002,0.002
18.11.2019 14:30:20.631 GMT-0000,38.633,38.627,0,0.0008
18.11.2019 14:30:20.718 GMT-0000,38.641999999999996,38.628,0,0.0008
18.11.2019 14:30:20.936 GMT-0000,38.632,38.618,0.002,0.002
18.11.2019 14:30:21.188 GMT-0000,38.622,38.608000000000004,0,0.0008
18.11.2019 14:30:21.521 GMT-0000,38.623000000000005,38.607,0.002,0.002
18.11.2019 14:30:21.971 GMT-0000,38.622,38.608000000000004,0,0.0008
18.11.2019 14:30:22.072 GMT-0000,38.612,38.598000000000006,0,0.0008
18.11.2019 14:30:24.024 GMT-0000,38.613,38.597,0.002,0.002
18.11.2019 14:30:25.648 GMT-0000,38.612,38.598000000000006,0,0.0008
18.11.2019 14:30:28.771 GMT-0000,38.613,38.597,0.002,0.002
18.11.2019 14:30:29.000 GMT-0000,38.612,38.598000000000006,0,0.0008
18.11.2019 14:30:31.040 GMT-0000,38.613,38.597,0.002,0.002
18.11.2019 14:30:31.177 GMT-0000,38.612,38.598000000000006,0,0.0008
18.11.2019 14:30:31.474 GMT-0000,38.613,38.597,0.002,0.002
18.11.2019 14:30:31.693 GMT-0000,38.612,38.598000000000006,0,0.0008
18.11.2019 14:30:32.315 GMT-0000,38.613,38.597,0.002,0.002
18.11.2019 14:30:32.674 GMT-0000,38.612,38.598000000000006,0,0.0008
18.11.2019 14:30:33.679 GMT-0000,38.613,38.598000000000006,0,0.0008
18.11.2019 14:30:33.730 GMT-0000,38.623000000000005,38.597,0.002,0.002
18.11.2019 14:30:33.873 GMT-0000,38.622,38.598000000000006,0,0.0008
18.11.2019 14:30:34.815 GMT-0000,38.622,38.607,0,0.0008
18.11.2019 14:30:34.866 GMT-0000,38.632,38.608000000000004,0,0.0008
18.11.2019 14:30:35.027 GMT-0000,38.641999999999996,38.618,0,0.0008
18.11.2019 14:30:35.128 GMT-0000,38.643,38.617,0.002,0.002
18.11.2019 14:30:35.262 GMT-0000,38.641999999999996,38.618,0,0.0008
18.11.2019 14:30:35.493 GMT-0000,38.632,38.618,0,0.0008
18.11.2019 14:30:35.543 GMT-0000,38.641999999999996,38.618,0,0.0008
18.11.2019 14:30:36.809 GMT-0000,38.643,38.617,0.002,0.002
18.11.2019 14:30:37.274 GMT-0000,38.632,38.618,0,0.0008
18.11.2019 14:30:37.524 GMT-0000,38.632,38.608000000000004,0,0.0008
18.11.2019 14:30:37.574 GMT-0000,38.623000000000005,38.607,0,0.002
18.11.2019 14:30:38.027 GMT-0000,38.622,38.608000000000004,0,0.0008
18.11.2019 14:30:38.128 GMT-0000,38.632,38.608000000000004,0.002,0.002
18.11.2019 14:30:38.249 GMT-0000,38.643,38.617,0.002,0.002
18.11.2019 14:30:38.518 GMT-0000,38.641999999999996,38.618,0,0.0008
18.11.2019 14:30:38.875 GMT-0000,38.643,38.617,0.002,0.002
18.11.2019 14:30:39.079 GMT-0000,38.641999999999996,38.618,0.002,0.002
18.11.2019 14:30:39.606 GMT-0000,38.633,38.618,0,0.0008
18.11.2019 14:30:39.992 GMT-0000,38.632,38.618,0.002,0.002
18.11.2019 14:30:40.327 GMT-0000,38.633,38.617,0.002,0.002
18.11.2019 14:30:40.499 GMT-0000,38.632,38.618,0,0.0008
18.11.2019 14:30:40.983 GMT-0000,38.622,38.598000000000006,0.002,0.002
18.11.2019 14:30:41.334 GMT-0000,38.623000000000005,38.608000000000004,0,0.0008
18.11.2019 14:30:41.384 GMT-0000,38.632,38.608000000000004,0.002,0.002
18.11.2019 14:30:41.496 GMT-0000,38.623000000000005,38.608000000000004,0,0.0008
18.11.2019 14:30:41.546 GMT-0000,38.622,38.598000000000006,0,0.0008
18.11.2019 14:30:41.596 GMT-0000,38.622,38.608000000000004,0,0.0008
18.11.2019 14:30:41.647 GMT-0000,38.622,38.598000000000006,0,0.0008
18.11.2019 14:30:41.781 GMT-0000,38.622,38.608000000000004,0,0.0008
18.11.2019 14:30:41.883 GMT-0000,38.622,38.598000000000006,0.002,0.002
18.11.2019 14:30:42.106 GMT-0000,38.612,38.598000000000006,0,0.002
18.11.2019 14:30:44.277 GMT-0000,38.612,38.578,0,0.0008
18.11.2019 14:30:44.744 GMT-0000,38.612,38.588,0.002,0.0008
18.11.2019 14:30:45.291 GMT-0000,38.612,38.597,0,0.0008
18.11.2019 14:30:45.418 GMT-0000,38.612,38.598000000000006,0,0.0008
18.11.2019 14:30:46.717 GMT-0000,38.612,38.607,0,0.0008
18.11.2019 14:30:46.768 GMT-0000,38.622,38.608000000000004,0,0.0008
18.11.2019 14:30:46.934 GMT-0000,38.632,38.618,0,0.0008
18.11.2019 14:30:47.395 GMT-0000,38.643,38.617,0.002,0.002
18.11.2019 14:30:47.754 GMT-0000,38.641999999999996,38.618,0,0.0008
18.11.2019 14:30:48.245 GMT-0000,38.641999999999996,38.628,0,0.0008
18.11.2019 14:30:49.427 GMT-0000,38.643,38.638000000000005,0,0.0008
18.11.2019 14:30:49.478 GMT-0000,38.652,38.638000000000005,0,0.0008
18.11.2019 14:30:49.528 GMT-0000,38.682,38.668,0,0.0008
18.11.2019 14:30:49.686 GMT-0000,38.683,38.677,0,0.0008
18.11.2019 14:30:49.737 GMT-0000,38.692,38.678000000000004,0,0.0008
18.11.2019 14:30:49.796 GMT-0000,38.673,38.657,0.002,0.002
18.11.2019 14:30:50.247 GMT-0000,38.672,38.648,0,0.0008
18.11.2019 14:30:50.492 GMT-0000,38.672,38.658,0,0.0008
18.11.2019 14:30:50.566 GMT-0000,38.662,38.638000000000005,0.002,0.002
18.11.2019 14:30:50.617 GMT-0000,38.672,38.648,0,0.0008
18.11.2019 14:30:50.761 GMT-0000,38.672,38.658,0,0.0008
18.11.2019 14:30:50.944 GMT-0000,38.673,38.657,0,0.002
18.11.2019 14:30:50.994 GMT-0000,38.682,38.658,0,0.0008
