Local time,Open,High,Low,Close,Volume
18.11.2019 14:30:00.210 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:00.550 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:01.310 GMT-0000,38.657,38.657,38.657,38.657,0.0008
18.11.2019 14:30:01.410 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:01.460 GMT-0000,38.677,38.677,38.677,38.677,0.002
18.11.2019 14:30:01.510 GMT-0000,38.598,38.598,38.598,38.598,0.002
18.11.2019 14:30:02.330 GMT-0000,38.657,38.657,38.657,38.657,0.002
18.11.2019 14:30:02.380 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:02.430 GMT-0000,38.658,38.658,38.658,38.658,0.0008
18.11.2019 14:30:02.480 GMT-0000,38.598,38.598,38.598,38.598,0.002
18.11.2019 14:30:02.580 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:02.630 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:02.690 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:02.830 GMT-0000,38.658,38.658,38.658,38.658,0.002
18.11.2019 14:30:02.910 GMT-0000,38.658,38.658,38.658,38.658,0.0008
18.11.2019 14:30:03.010 GMT-0000,38.708,38.708,38.708,38.708,0.0008
18.11.2019 14:30:03.060 GMT-0000,38.688,38.688,38.688,38.688,0.002
18.11.2019 14:30:03.110 GMT-0000,38.687,38.687,38.687,38.687,0.002
18.11.2019 14:30:03.160 GMT-0000,38.667,38.667,38.667,38.667,0.002
18.11.2019 14:30:03.360 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:03.510 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:03.560 GMT-0000,38.668,38.668,38.668,38.668,0.0008
18.11.2019 14:30:03.660 GMT-0000,38.687,38.687,38.687,38.687,0.002
18.11.2019 14:30:03.710 GMT-0000,38.687,38.687,38.687,38.687,0.0008
18.11.2019 14:30:03.810 GMT-0000,38.668,38.668,38.668,38.668,0.0008
18.11.2019 14:30:03.860 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:04.060 GMT-0000,38.698,38.698,38.698,38.698,0.0008
18.11.2019 14:30:04.520 GMT-0000,38.698,38.698,38.698,38.698,0.0008
18.11.2019 14:30:04.580 GMT-0000,38.687,38.687,38.687,38.687,0.002
18.11.2019 14:30:04.680 GMT-0000,38.687,38.687,38.687,38.687,0.002
18.11.2019 14:30:04.810 GMT-0000,38.687,38.687,38.687,38.687,0.002
18.11.2019 14:30:05.060 GMT-0000,38.687,38.687,38.687,38.687,0.0008
18.11.2019 14:30:05.110 GMT-0000,38.678,38.678,38.678,38.678,0.002
18.11.2019 14:30:05.300 GMT-0000,38.668,38.668,38.668,38.668,0.0008
18.11.2019 14:30:05.850 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:05.900 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:06.280 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:06.330 GMT-0000,38.667,38.667,38.667,38.667,0.002
18.11.2019 14:30:06.850 GMT-0000,38.678,38.678,38.678,38.678,0.0008
18.11.2019 14:30:07.000 GMT-0000,38.667,38.667,38.667,38.667,0.002
18.11.2019 14:30:07.170 GMT-0000,38.667,38.667,38.667,38.667,0.0008
18.11.2019 14:30:07.220 GMT-0000,38.648,38.648,38.648,38.648,0.0008
18.11.2019 14:30:07.350 GMT-0000,38.647,38.647,38.647,38.647,0.002
18.11.2019 14:30:07.440 GMT-0000,38.648,38.648,38.648,38.648,0.0008
18.11.2019 14:30:07.750 GMT-0000,38.648,38.648,38.648,38.648,0.0008
18.11.2019 14:30:07.860 GMT-0000,38.647,38.647,38.647,38.647,0.002
18.11.2019 14:30:07.910 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:08.450 GMT-0000,38.647,38.647,38.647,38.647,0.0008
18.11.2019 14:30:08.500 GMT-0000,38.637,38.637,38.637,38.637,0.002
18.11.2019 14:30:08.950 GMT-0000,38.638,38.638,38.638,38.638,0.002
18.11.2019 14:30:09.000 GMT-0000,38.598,38.598,38.598,38.598,0.0008
18.11.2019 14:30:09.110 GMT-0000,38.628,38.628,38.628,38.628,0.0008
18.11.2019 14:30:09.160 GMT-0000,38.637,38.637,38.637,38.637,0.002
18.11.2019 14:30:09.400 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:09.550 GMT-0000,38.627,38.627,38.627,38.627,0.002
18.11.2019 14:30:09.600 GMT-0000,38.618,38.618,38.618,38.618,0.0008
18.11.2019 14:30:09.750 GMT-0000,38.628,38.628,38.628,38.628,0.002
18.11.2019 14:30:09.950 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:10.000 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:10.050 GMT-0000,38.638,38.638,38.638,38.638,0.0008
18.11.2019 14:30:10.210 GMT-0000,38.628,38.628,38.628,38.628,0.0008
18.11.2019 14:30:10.360 GMT-0000,38.627,38.627,38.627,38.627,0.002
18.11.2019 14:30:10.490 GMT-0000,38.637,38.637,38.637,38.637,0.0008
18.11.2019 14:30:10.640 GMT-0000,38.647,38.647,38.647,38.647,0.002
18.11.2019 14:30:10.690 GMT-0000,38.648,38.648,38.648,38.648,0.0008
18.11.2019 14:30:10.740 GMT-0000,38.678,38.678,38.678,38.678,0.0008
18.11.2019 14:30:10.790 GMT-0000,38.668,38.668,38.668,38.668,0.0008
18.11.2019 14:30:10.860 GMT-0000,38.667,38.667,38.667,38.667,0.002
