Local time,Open,High,Low,Close,Volume
03.01.2018 14:31:14.000 GMT-0000,11.678,11.687,11.668,11.687,0.0188
03.01.2018 14:31:15.000 GMT-0000,11.669,11.669,11.658,11.668,0.015299999999999998
03.01.2018 14:31:16.000 GMT-0000,11.660,11.660,11.650,11.650,0.015299999999999998
03.01.2018 14:31:17.000 GMT-0000,11.628,11.638,11.628,11.638,0.0281
03.01.2018 14:31:18.000 GMT-0000,11.647,11.653,11.638,11.653,0.03
03.01.2018 14:31:19.000 GMT-0000,11.657,11.687,11.657,11.687,0.035899999999999994
03.01.2018 14:31:20.000 GMT-0000,11.687,11.688,11.687,11.688,0.0103
03.01.2018 14:31:21.000 GMT-0000,11.678,11.708,11.678,11.708,0.0235
03.01.2018 14:31:22.000 GMT-0000,11.698,11.717,11.698,11.707,0.0362
03.01.2018 14:31:23.000 GMT-0000,11.718,11.718,11.701,11.711,0.0353
03.01.2018 14:31:24.000 GMT-0000,11.718,11.727,11.718,11.718,0.032999999999999995
03.01.2018 14:31:25.000 GMT-0000,11.728,11.728,11.728,11.728,0.0075
03.01.2018 14:31:26.000 GMT-0000,11.728,11.733,11.727,11.733,0.0179
03.01.2018 14:31:27.000 GMT-0000,11.738,11.742,11.738,11.742,0.018199999999999997
03.01.2018 14:31:28.000 GMT-0000,11.742,11.748,11.738,11.738,0.025399999999999995
03.01.2018 14:31:29.000 GMT-0000,11.738,11.748,11.738,11.748,0.017599999999999998
03.01.2018 14:31:30.000 GMT-0000,11.747,11.758,11.747,11.758,0.018199999999999997
03.01.2018 14:31:31.000 GMT-0000,11.758,11.758,11.758,11.758,0.0006
03.01.2018 14:31:32.000 GMT-0000,11.757,11.767,11.757,11.758,0.0297
03.01.2018 14:31:33.000 GMT-0000,11.768,11.768,11.768,11.768,0.0101
03.01.2018 14:31:34.000 GMT-0000,11.767,11.767,11.748,11.758,0.0116
03.01.2018 14:31:35.000 GMT-0000,11.758,11.758,11.758,11.758,0.0009
03.01.2018 14:31:36.000 GMT-0000,11.757,11.757,11.757,11.757,0.0113
03.01.2018 14:31:37.000 GMT-0000,11.757,11.759,11.757,11.759,0.0191
03.01.2018 14:31:38.000 GMT-0000,11.738,11.749,11.738,11.748,0.0286
03.01.2018 14:31:39.000 GMT-0000,11.727,11.748,11.727,11.748,0.024000000000000004
03.01.2018 14:31:40.000 GMT-0000,11.740,11.740,11.740,11.740,0.0075
03.01.2018 14:31:41.000 GMT-0000,11.748,11.748,11.748,11.748,0.0075
03.01.2018 14:31:43.000 GMT-0000,11.748,11.748,11.742,11.742,0.015
03.01.2018 14:31:44.000 GMT-0000,11.747,11.747,11.747,11.747,0.0075
03.01.2018 14:31:45.000 GMT-0000,11.747,11.748,11.742,11.748,0.0261
03.01.2018 14:31:46.000 GMT-0000,11.748,11.748,11.748,11.748,0.012
03.01.2018 14:31:47.000 GMT-0000,11.749,11.749,11.749,11.749,0.0075
03.01.2018 14:31:48.000 GMT-0000,11.749,11.749,11.729,11.729,0.015
03.01.2018 14:31:49.000 GMT-0000,11.748,11.748,11.718,11.728,0.009099999999999999
03.01.2018 14:31:50.000 GMT-0000,11.732,11.732,11.732,11.732,0.0075
03.01.2018 14:31:51.000 GMT-0000,11.727,11.737,11.727,11.737,0.0109
03.01.2018 14:31:52.000 GMT-0000,11.727,11.728,11.727,11.728,0.018000000000000002
03.01.2018 14:31:53.000 GMT-0000,11.728,11.728,11.728,11.728,0.0114
03.01.2018 14:31:54.000 GMT-0000,11.728,11.728,11.728,11.728,0.0104
03.01.2018 14:31:55.000 GMT-0000,11.727,11.728,11.727,11.728,0.010799999999999999
03.01.2018 14:31:56.000 GMT-0000,11.732,11.737,11.732,11.737,0.0181
03.01.2018 14:31:57.000 GMT-0000,11.738,11.748,11.738,11.748,0.014
03.01.2018 14:32:00.000 GMT-0000,11.757,11.758,11.757,11.758,0.0234
03.01.2018 14:32:01.000 GMT-0000,11.767,11.767,11.751,11.751,0.022499999999999996
03.01.2018 14:32:02.000 GMT-0000,11.757,11.757,11.750,11.750,0.015
03.01.2018 14:32:03.000 GMT-0000,11.752,11.752,11.752,11.752,0.0075
03.01.2018 14:32:04.000 GMT-0000,11.748,11.748,11.741,11.747,0.0241
03.01.2018 14:32:05.000 GMT-0000,11.741,11.741,11.738,11.738,0.0226
03.01.2018 14:32:06.000 GMT-0000,11.720,11.737,11.720,11.737,0.022499999999999996
03.01.2018 14:32:08.000 GMT-0000,11.738,11.738,11.727,11.727,0.007799999999999999
